State,Case_Number,Persons,County,City,Month,Day,Route,Rural/Urban,Latitude,Longitude,First Harmful Event,Manner of Collision,Light Conditions,Weather
Alabama,10001,3,LEE (81),OPELIKA,February,Thursday,Interstate,Urban,32.66622222,-85.33665833,Motor Vehicle In-Transport,Front-to-Rear,Daylight,Clear
Alabama,10002,2,ETOWAH (55),GADSDEN,January,Wednesday,Interstate,Urban,33.99782778,-86.05399722,Motor Vehicle In-Transport,Front-to-Rear,Dark - Not Lighted,Rain
Alabama,10004,1,ETOWAH (55),RAINBOW CITY,January,Tuesday,Interstate,Rural,33.95647222,-86.14052222,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,Clear
Alabama,10008,1,HOUSTON (69),COTTONWOOD,February,Saturday,County Road,Rural,31.06868611,-85.33365833,Rollover/Overturn,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,Clear
Alabama,10009,1,BALDWIN (3),GULF SHORES,February,Friday,Local Street - Municipality,Urban,30.279125,-87.67710833,Immersion or Partial Immersion,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Alabama,10010,1,MONTGOMERY (101),MONTGOMERY,February,Thursday,Local Street - Municipality,Urban,32.3443,-86.31708056,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Clear
Alabama,10013,1,HOUSTON (69),DOTHAN,January,Friday,U.S. Highway,Urban,31.159875,-85.40241667,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Cloudy
Alabama,10015,2,BUTLER (13),GREENVILLE,January,Monday,State Highway,Urban,31.84898889,-86.63043611,Motor Vehicle In-Transport,Front-to-Front,Dark - Lighted,Clear
Alabama,10016,3,MOBILE (97),MOBILE,January,Monday,Local Street - Municipality,Urban,30.63250833,-88.14568889,Motor Vehicle In-Transport,Angle,Daylight,Clear
Alabama,10017,2,JEFFERSON (73),GARDENDALE,January,Monday,U.S. Highway,Urban,33.65531389,-86.81105833,Motor Vehicle In-Transport,Angle,Daylight,Clear
Alabama,10018,1,BALDWIN (3),GULF SHORES,January,Monday,County Road,Urban,30.29742222,-87.67128611,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,Clear
Alabama,10025,3,MADISON (89),HUNTSVILLE,January,Friday,Local Street - Municipality,Urban,34.74935,-86.59455556,Motor Vehicle In-Transport,Front-to-Rear,Daylight,Clear
Alabama,10026,1,COVINGTON (39),RED LEVEL,January,Friday,County Road,Rural,31.40671111,-86.60283333,Curb,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Alabama,10028,4,TUSCALOOSA (125),TUSCALOOSA,January,Saturday,U.S. Highway,Urban,33.17052778,-87.486125,Motor Vehicle In-Transport,Front-to-Front,Daylight,Rain
Alabama,10030,1,SHELBY (117),PELHAM,January,Monday,U.S. Highway,Urban,33.28565,-86.81019722,Curb,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Clear
Alabama,10031,2,JACKSON (71),SCOTTSBORO,January,Tuesday,State Highway,Urban,34.62871389,-86.10284722,Motor Vehicle In-Transport,Front-to-Front,Dark - Lighted,Clear
Alabama,10033,4,MADISON (89),NEW HOPE,January,Thursday,Local Street - Municipality,Rural,34.55683333,-86.43853056,Motor Vehicle In-Transport,Front-to-Front,Daylight,Rain
Alabama,10039,1,MOBILE (97),MOBILE,January,Sunday,Local Street - Municipality,Urban,30.600125,-88.09652778,Other Object (not fixed),The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Clear
Alabama,10045,2,CULLMAN (43),CULLMAN,January,Monday,U.S. Highway,Urban,34.20432222,-86.85889722,Motor Vehicle In-Transport,Angle,Daylight,Clear
Alabama,10047,2,TUSCALOOSA (125),TUSCALOOSA,January,Tuesday,State Highway,Urban,33.14648333,-87.54414167,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,Clear
Alabama,10048,1,MOBILE (97),MOBILE,January,Tuesday,State Highway,Urban,30.45061667,-88.11606667,Utility Pole/Light Support,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Rain
Alabama,10051,2,MOBILE (97),MOBILE,January,Saturday,U.S. Highway,Urban,30.72004722,-88.15268056,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Clear
Alabama,10055,3,TUSCALOOSA (125),TUSCALOOSA,January,Tuesday,Local Street - Municipality,Urban,33.21213333,-87.57115278,Motor Vehicle In-Transport,Angle,Dark - Lighted,Clear
Alabama,10056,3,RUSSELL (113),PHENIX CITY,January,Tuesday,U.S. Highway,Urban,32.43723611,-85.02380278,Motor Vehicle In-Transport,Angle,Daylight,Cloudy
Alabama,10057,1,TUSCALOOSA (125),TUSCALOOSA,January,Tuesday,Local Street - Municipality,Urban,33.18552778,-87.51325278,Curb,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Rain
Alabama,10058,3,MONTGOMERY (101),MONTGOMERY,January,Wednesday,Local Street - Municipality,Urban,32.34379167,-86.34247222,Other Fixed Object,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Clear
Alabama,10061,1,DEKALB (49),RAINSVILLE,January,Wednesday,County Road,Rural,34.481075,-85.79135556,Tree (Standing Only),The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,Clear
Alabama,10062,2,MONTGOMERY (101),MONTGOMERY,January,Wednesday,Local Street - Municipality,Urban,32.34286944,-86.33990556,Motor Vehicle In-Transport,Front-to-Front,Dark - Lighted,Cloudy
Alabama,10064,1,HOUSTON (69),DOTHAN,February,Friday,State Highway,Urban,31.20089722,-85.368225,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,Clear
Alabama,10068,6,HOUSTON (69),DOTHAN,February,Tuesday,State Highway,Urban,31.21382222,-85.36178333,Motor Vehicle In-Transport,Angle,Daylight,Cloudy
Alabama,10069,3,CALHOUN (15),ANNISTON,February,Wednesday,State Highway,Urban,33.73266667,-85.79768056,Motor Vehicle In-Transport,Front-to-Front,Daylight,Cloudy
Alabama,10073,1,JEFFERSON (73),IRONDALE,February,Saturday,Interstate,Urban,33.52194167,-86.66880278,Concrete Traffic Barrier,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Cloudy
Alabama,10074,2,JEFFERSON (73),ADAMSVILLE,February,Saturday,Interstate,Urban,33.649825,-86.99908056,Motor Vehicle In-Transport,Front-to-Rear,Dark - Not Lighted,Cloudy
Alabama,10075,1,RANDOLPH (111),WEDOWEE,January,Friday,State Highway,Rural,33.30613056,-85.51101667,Mail Box,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Cloudy
Alabama,10076,1,MOBILE (97),DAUPHIN ISLAND,January,Tuesday,Local Street - Municipality,Urban,30.25393333,-88.11643056,Motor Vehicle In-Transport,Front-to-Rear,Daylight,Cloudy
Alabama,10077,1,JEFFERSON (73),BIRMINGHAM,January,Sunday,Local Street - Municipality,Urban,33.50260833,-86.78184722,Curb,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Clear
Alabama,10078,2,COFFEE (31),ENTERPRISE,January,Monday,State Highway,Urban,31.36061667,-85.87396389,Motor Vehicle In-Transport,Front-to-Front,Dark - Not Lighted,Clear
Alabama,10079,1,MORGAN (103),HARTSELLE,February,Wednesday,U.S. Highway,Urban,34.41304444,-86.92139444,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Clear
Alabama,10081,6,SHELBY (117),PELHAM,February,Saturday,U.S. Highway,Urban,33.34217222,-86.7953,Motor Vehicle In-Transport,Angle,Dark - Lighted,Clear
Alabama,10083,2,BALDWIN (3),DAPHNE,February,Thursday,U.S. Highway,Urban,30.58929167,-87.89818611,Motor Vehicle In-Transport,Front-to-Front,Daylight,Cloudy
Alabama,10087,1,LEE (81),AUBURN,February,Saturday,Local Street - Municipality,Urban,32.57709444,-85.481075,Curb,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Clear
Alabama,10090,6,MONTGOMERY (101),MONTGOMERY,February,Sunday,Local Street - Municipality,Urban,32.33536111,-86.22871111,Motor Vehicle In-Transport,Angle,Dark - Lighted,Clear
Alabama,10093,1,MONTGOMERY (101),MONTGOMERY,February,Thursday,Local Street - Municipality,Urban,32.313225,-86.21487778,Utility Pole/Light Support,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Rain
Alabama,10096,3,SHELBY (117),COLUMBIANA,February,Saturday,County Road,Urban,33.19870833,-86.61143333,Motor Vehicle In-Transport,Front-to-Front,Daylight,Rain
Alabama,10097,1,PIKE (109),TROY,February,Saturday,State Highway,Urban,31.77258611,-85.96058889,Utility Pole/Light Support,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Cloudy
Alabama,10099,5,COVINGTON (39),ANDALUSIA,February,Tuesday,Local Street - Municipality,Urban,31.28518611,-86.4978,Motor Vehicle In-Transport,Angle,Daylight,Clear
Alabama,10100,2,MONTGOMERY (101),MONTGOMERY,February,Thursday,Local Street - Municipality,Urban,32.37090556,-86.20939444,Motor Vehicle In-Transport,Angle,Daylight,Cloudy
Alabama,10101,4,FRANKLIN (59),RUSSELLVILLE,March,Saturday,State Highway,Urban,34.509725,-87.71728333,Motor Vehicle In-Transport,Angle,Daylight,Clear
Alabama,10102,1,ELMORE (51),MILLBROOK,March,Saturday,State Highway,Urban,32.49526944,-86.40227222,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,Cloudy
Alabama,10104,1,SHELBY (117),WESTOVER,March,Sunday,State Highway,Rural,33.35852222,-86.55089167,Tree (Standing Only),The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,Clear
Alabama,10108,2,MADISON (89),OWENS CROSS ROADS,March,Monday,U.S. Highway,Urban,34.57992222,-86.449875,Motor Vehicle In-Transport,Angle,Daylight,Cloudy
Alabama,10115,3,MADISON (89),HUNTSVILLE,March,Wednesday,Local Street - Municipality,Urban,34.82693333,-86.62044444,Motor Vehicle In-Transport,Angle,Dark - Lighted,Cloudy
Alabama,10118,1,WALKER (127),JASPER,March,Sunday,State Highway,Urban,33.83686389,-87.28943056,Utility Pole/Light Support,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Alabama,10119,1,MARSHALL (95),ALBERTVILLE,March,Monday,Local Street - Municipality,Urban,34.27478056,-86.21429722,Tree (Standing Only),The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Cloudy
Alabama,10121,3,MOBILE (97),MOBILE,March,Tuesday,Local Street - Municipality,Urban,30.68947222,-88.114575,Motor Vehicle In-Transport,Angle,Dark - Lighted,Clear
Alabama,10124,3,BUTLER (13),GREENVILLE,April,Sunday,Interstate,Urban,31.82720556,-86.662975,Motor Vehicle In-Transport,Front-to-Rear,Dark - Not Lighted,Cloudy
Alabama,10125,6,CALHOUN (15),OXFORD,April,Sunday,Interstate,Urban,33.60506111,-85.83822222,Ditch,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Alabama,10127,1,MOBILE (97),MOBILE,March,Sunday,Interstate,Urban,30.62528889,-88.12403889,Concrete Traffic Barrier,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Cloudy
